iter	Passed	Remaining
408	4969	7180
409	4984	7172
410	4994	7158
411	5005	7143
412	5018	7133
413	5027	7116
414	5038	7101
415	5047	7085
416	5058	7072
417	5069	7058
418	5078	7042
419	5087	7025
420	5100	7014
421	5115	7006
422	5126	6992
423	5134	6975
424	5144	6960
425	5151	6941
426	5160	6925
427	5168	6907
428	5182	6897
429	5196	6887
430	5207	6874
431	5220	6864
432	5232	6851
433	5247	6843
434	5256	6827
435	5264	6810
436	5274	6794
437	5286	6782
438	5293	6764
439	5308	6756
440	5319	6742
441	5329	6728
442	5345	6720
443	5358	6709
444	5370	6698
445	5380	6682
446	5389	6667
447	5400	6654
448	5414	6644
449	5425	6631
450	5436	6617
451	5446	6603
452	5456	6589
453	5466	6573
454	5477	6560
455	5485	6544
456	5500	6535
457	5511	6522
458	5527	6515
459	5542	6505
460	5565	6506
461	5575	6492
462	5598	6492
463	5608	6478
464	5621	6467
465	5638	6460
466	5655	6454
467	5663	6437
468	5674	6424
469	5685	6410
470	5698	6400
471	5714	6392
472	5728	6382
473	5737	6366
474	5750	6355
475	5758	6339
476	5773	6330
477	5782	6314
478	5796	6304
479	5809	6293
480	5817	6276
481	5827	6263
482	5840	6251
483	5853	6240
484	5864	6227
485	5876	6215
486	5889	6204
487	5901	6191
488	5910	6176
489	5925	6167
490	5937	6155
491	5947	6140
492	5959	6128
493	5968	6113
494	5978	6099
495	5989	6085
496	5999	6072
497	6011	6059
498	6027	6052
499	6041	6041
500	6053	6029
501	6068	6019
502	6078	6006
503	6091	5994
504	6102	5981
505	6113	5968
506	6126	5956
507	6139	5946
508	6153	5936
509	6162	5920
510	6176	5910
511	6184	5894
512	6198	5884
513	6208	5870
514	6219	5857
515	6234	5847
516	6245	5835
517	6257	5822
518	6271	5812
519	6280	5797
520	6290	5783
521	6305	5773
522	6314	5759
523	6326	5746
524	6337	5734
525	6354	5726
526	6366	5714
527	6378	5702
528	6391	5690
529	6408	5683
530	6421	5671
531	6436	5661
532	6449	5651
533	6466	5642
534	6481	5633
535	6488	5616
536	6506	5610
537	6521	5600
538	6529	5584
539	6540	5571
540	6551	5558
541	6563	5545
542	6574	5533
543	6596	5529
544	6606	5515
545	6613	5499
546	6629	5490
547	6638	5475
548	6651	5464
549	6661	5450
550	6674	5439
551	6688	5428
552	6702	5417
553	6710	5402
554	6727	5394
555	6738	5380
556	6749	5368
557	6761	5355
558	6770	5341
559	6782	5328
560	6792	5315
561	6804	5303
562	6823	5296
563	6836	5284
564	6847	5272
565	6858	5259
566	6869	5245
567	6882	5234
568	6892	5220
569	6900	5205
570	6911	5192
571	6921	5179
572	6932	5166
573	6942	5152
574	6953	5139
575	6966	5127
576	6978	5116
577	6988	5102
578	7004	5092
579	7014	5079
580	7025	5066
581	7038	5055
582	7048	5041
583	7059	5028
584	7071	5016
585	7082	5003
586	7092	4990
587	7104	4978
588	7116	4966
589	7125	4951
590	7134	4937
591	7144	4924
592	7152	4909
593	7166	4897
594	7178	4886
595	7192	4875
596	7206	4864
597	7223	4855
598	7232	4841
599	7240	4826
600	7250	4813
601	7260	4800
602	7268	4785
603	7278	4771
604	7291	4760
605	7299	4745
606	7311	4733
607	7321	4720
608	7332	4707
609	7342	4694
610	7353	4681
611	7365	4669
612	7377	4657
613	7392	4647
614	7406	4636
615	7415	4622
616	7428	4611
617	7443	4601
618	7453	4587
619	7467	4576
620	7479	4564
621	7494	4554
622	7501	4539
623	7511	4526
624	7537	4522
625	7562	4518
626	7574	4506
627	7596	4499
628	7608	4487
629	7624	4477
630	7643	4469
631	7655	4457
632	7670	4447
633	7682	4434
634	7701	4426
635	7712	4414
636	7727	4403
637	7749	4396
638	7758	4383
639	7772	4371
640	7783	4359
641	7796	4347
642	7808	4335
643	7822	4324
644	7831	4310
645	7842	4297
646	7850	4283
647	7858	4268
648	7868	4255
649	7881	4243
650	7891	4230
651	7903	4218
652	7919	4208
653	7926	4193
654	7938	4181
655	7948	4168
656	7960	4156
657	7972	4143
658	7980	4129
659	7990	4116
660	8000	4103
661	8014	4091
662	8025	4079
663	8036	4066
664	8044	4052
665	8054	4039
666	8066	4027
667	8078	4015
668	8089	4002
669	8099	3989
670	8109	3976
671	8118	3962
672	8127	3948
673	8137	3935
674	8149	3923
675	8161	3911
676	8173	3899
677	8183	3886
678	8191	3872
679	8206	3861
680	8219	3850
681	8227	3836
682	8243	3826
683	8253	3812
684	8262	3799
685	8273	3786
686	8290	3776
687	8303	3765
688	8315	3753
689	8329	3742
690	8340	3729
691	8357	3719
692	8372	3709
693	8384	3696
694	8391	3682
695	8401	3669
696	8414	3657
697	8423	3644
698	8434	3632
699	8446	3620
700	8455	3606
701	8469	3595
702	8485	3585
703	8497	3572
704	8508	3560
705	8517	3547
706	8528	3534
707	8536	3520
708	8549	3509
709	8559	3495
710	8573	3484
711	8580	3470
712	8590	3457
713	8600	3445
714	8617	3434
715	8630	3423
716	8643	3411
717	8654	3399
718	8661	3385
719	8677	3374
720	8689	3362
721	8705	3352
722	8718	3340
723	8728	3327
724	8742	3316
725	8753	3303
